name;description;inferred_stereotype
Bachelor;An undergraduate academic degree awarded by colleges and universities upon completion of a course of study lasting three to seven years.;subkind
Wish;A desire or hope for something to happen.;kind
Application;A formal request to an authority for something.;kind
Student;A person who is studying at a school or college.;role
Foreign Country;A country other than one's own.;kind
Coordination;The organization of the different elements of a complex body or activity so as to enable them to work together effectively.;kind
Arab Country;A country belonging to the Arab world, sharing linguistic and cultural heritage.;subkind
Reservation;An arrangement to have something (such as a room, table, or seat) held for one's use.;kind
Secondary Certificate;A certificate awarded upon completion of secondary education.;kind
Revision;The process of examining and improving something already written.;kind
STEM School;A school with a curriculum focused on science, technology, engineering, and mathematics.;subkind
Technical;Relating to a particular subject, art, or craft, or its techniques.;quality
Ticket;A printed piece of paper that entitles the holder to a specified service.;kind
Railway;A system of railroad tracks and infrastructure for the rolling stock of a train to run on.;kind
Secondary General;A general type of secondary education, not specialized in a specific field.;subkind
Equivalence;The state of being equal in value, amount, function, or meaning.;kind
Scientific Degree;An academic degree awarded for studies in sciences.;subkind
Airlain;Likely a typo. Assuming it means 'Airline', it refers to a company that provides air transport services for traveling passengers and freight.;kind
Status;The relative position of someone or something within a particular context.;kind
Train;A series of connected railroad cars pulled or pushed by a locomotive.;kind
Masters;A postgraduate academic degree, ranking below a doctorate and above a bachelor's degree.;subkind
Check;An examination to determine accuracy, quality, or condition.;kind

Hazard Element;A specific component or aspect of a hazard that contributes to its potential to cause harm.;subkind
Harm TruthMaker;A specific entity, condition, or event that directly brings about harm or makes the harm true.;roleMixin
Relator;An entity that establishes a connection or relationship between other entities. In this context, it likely relates hazards to other elements in the domain.;category
Kind;Represents a fundamental, independent type of entity in the world.;category
Initiating Event;An event that triggers or initiates a chain of events leading to a hazard manifestation.;event
Initiating Condition;A pre-existing condition or state that makes a hazard more likely to occur or to have a more severe impact.;situation
Exposure;The state of being in contact with or proximity to a hazard, making one susceptible to its effects.;situation
Environment Object;An object within the environment that plays a role in a hazard scenario.;roleMixin
Role;Indicates a type of entity that is defined by its function or relationship to other entities.;category
Mishap;An unfortunate incident that happens unexpectedly and unintentionally, typically resulting in harm or damage.;event
Situation;A set of circumstances that exists at a particular time and in a particular place.;category
Mishap Victim;An entity that experiences harm or damage as a result of a mishap.;role
Disposition;An inclination or tendency to act or think in a particular way.;quality
